,precision,recall,f1-score,support
buildings,0.7760532150776053,0.8009153318077803,0.7882882882882883,437.0
forest,0.9278557114228457,0.9767932489451476,0.9516957862281603,474.0
glacier,0.8465011286681715,0.6781193490054249,0.7530120481927711,553.0
mountain,0.770949720670391,0.7885714285714286,0.7796610169491526,525.0
sea,0.7773584905660378,0.807843137254902,0.7923076923076923,510.0
street,0.812962962962963,0.8762475049900199,0.8434197886647454,501.0
accuracy,0.8176666666666667,0.8176666666666667,0.8176666666666667,0.8176666666666667
macro avg,0.8186135382280025,0.8214150000957839,0.8180641034384685,3000.0
weighted avg,0.8185166214473069,0.8176666666666667,0.8159845728003328,3000.0
